007  00119 |Loss: 0.643 | Acc: 63.000% 
007  00120 |Loss: 0.645 | Acc: 63.000% 
007  00121 |Loss: 0.648 | Acc: 63.000% 
007  00122 |Loss: 0.644 | Acc: 63.000% 
007  00123 |Loss: 0.642 | Acc: 63.000% 
007  00124 |Loss: 0.641 | Acc: 63.000% 
007  00125 |Loss: 0.643 | Acc: 63.000% 
007  00126 |Loss: 0.641 | Acc: 63.000% 
008  00127 |Loss: 0.612 | Acc: 69.000% 
008  00128 |Loss: 0.605 | Acc: 66.000% 
008  00129 |Loss: 0.599 | Acc: 68.000% 
008  00130 |Loss: 0.621 | Acc: 65.000% 
008  00131 |Loss: 0.625 | Acc: 64.000% 
008  00132 |Loss: 0.624 | Acc: 65.000% 
008  00133 |Loss: 0.622 | Acc: 65.000% 
008  00134 |Loss: 0.610 | Acc: 66.000% 
008  00135 |Loss: 0.616 | Acc: 66.000% 
008  00136 |Loss: 0.622 | Acc: 65.000% 
008  00137 |Loss: 0.630 | Acc: 65.000% 
008  00138 |Loss: 0.644 | Acc: 66.000% 
008  00139 |Loss: 0.645 | Acc: 66.000% 
008  00140 |Loss: 0.647 | Acc: 65.000% 
008  00141 |Loss: 0.652 | Acc: 64.000% 
008  00142 |Loss: 0.652 | Acc: 64.000% 
008  00143 |Loss: 0.653 | Acc: 64.000% 
008  00144 |Loss: 0.652 | Acc: 64.000% 
009  00145 |Loss: 0.622 | Acc: 62.000% 
009  00146 |Loss: 0.627 | Acc: 63.000% 
009  00147 |Loss: 0.613 | Acc: 64.000% 
009  00148 |Loss: 0.607 | Acc: 64.000% 
009  00149 |Loss: 0.604 | Acc: 64.000% 
009  00150 |Loss: 0.609 | Acc: 63.000% 
009  00151 |Loss: 0.613 | Acc: 64.000% 
009  00152 |Loss: 0.607 | Acc: 64.000% 
009  00153 |Loss: 0.611 | Acc: 63.000% 
009  00154 |Loss: 0.609 | Acc: 64.000% 
009  00155 |Loss: 0.609 | Acc: 64.000% 
009  00156 |Loss: 0.612 | Acc: 64.000% 
009  00157 |Loss: 0.614 | Acc: 64.000% 
009  00158 |Loss: 0.615 | Acc: 64.000% 
009  00159 |Loss: 0.618 | Acc: 64.000% 
009  00160 |Loss: 0.617 | Acc: 64.000% 
009  00161 |Loss: 0.618 | Acc: 64.000% 
009  00162 |Loss: 0.625 | Acc: 63.000% 
010  00163 |Loss: 0.565 | Acc: 74.000% 
010  00164 |Loss: 0.625 | Acc: 67.000% 
010  00165 |Loss: 0.628 | Acc: 65.000% 
010  00166 |Loss: 0.623 | Acc: 64.000% 
010  00167 |Loss: 0.603 | Acc: 66.000% 
010  00168 |Loss: 0.605 | Acc: 66.000% 
010  00169 |Loss: 0.605 | Acc: 66.000% 
010  00170 |Loss: 0.602 | Acc: 67.000% 
010  00171 |Loss: 0.597 | Acc: 68.000% 
010  00172 |Loss: 0.594 | Acc: 68.000% 
010  00173 |Loss: 0.588 | Acc: 68.000% 
010  00174 |Loss: 0.590 | Acc: 68.000% 
010  00175 |Loss: 0.588 | Acc: 68.000% 
010  00176 |Loss: 0.585 | Acc: 68.000% 
010  00177 |Loss: 0.595 | Acc: 68.000% 
010  00178 |Loss: 0.597 | Acc: 68.000% 
010  00179 |Loss: 0.597 | Acc: 67.000% 
010  00180 |Loss: 0.603 | Acc: 67.000% 
011  00181 |Loss: 0.655 | Acc: 61.000% 
011  00182 |Loss: 0.633 | Acc: 63.000% 
011  00183 |Loss: 0.615 | Acc: 65.000% 
011  00184 |Loss: 0.599 | Acc: 65.000% 
011  00185 |Loss: 0.603 | Acc: 64.000% 
011  00186 |Loss: 0.599 | Acc: 65.000% 
011  00187 |Loss: 0.604 | Acc: 65.000% 
011  00188 |Loss: 0.601 | Acc: 66.000% 
011  00189 |Loss: 0.601 | Acc: 66.000% 
011  00190 |Loss: 0.592 | Acc: 66.000% 
011  00191 |Loss: 0.584 | Acc: 67.000% 
011  00192 |Loss: 0.584 | Acc: 68.000% 
011  00193 |Loss: 0.586 | Acc: 68.000% 
011  00194 |Loss: 0.590 | Acc: 67.000% 
011  00195 |Loss: 0.590 | Acc: 68.000% 
011  00196 |Loss: 0.594 | Acc: 67.000% 
011  00197 |Loss: 0.596 | Acc: 67.000% 
011  00198 |Loss: 0.600 | Acc: 67.000% 
012  00199 |Loss: 0.608 | Acc: 70.000% 
012  00200 |Loss: 0.605 | Acc: 69.000% 
012  00201 |Loss: 0.605 | Acc: 68.000% 
012  00202 |Loss: 0.599 | Acc: 68.000% 
012  00203 |Loss: 0.595 | Acc: 69.000% 
012  00204 |Loss: 0.601 | Acc: 68.000% 
012  00205 |Loss: 0.602 | Acc: 68.000% 
012  00206 |Loss: 0.596 | Acc: 68.000% 
012  00207 |Loss: 0.584 | Acc: 68.000% 
012  00208 |Loss: 0.582 | Acc: 68.000% 
012  00209 |Loss: 0.586 | Acc: 68.000% 
012  00210 |Loss: 0.584 | Acc: 68.000% 
012  00211 |Loss: 0.575 | Acc: 69.000% 
012  00212 |Loss: 0.589 | Acc: 68.000% 
012  00213 |Loss: 0.584 | Acc: 69.000% 
012  00214 |Loss: 0.583 | Acc: 69.000% 
012  00215 |Loss: 0.578 | Acc: 69.000% 
012  00216 |Loss: 0.578 | Acc: 69.000% 
013  00217 |Loss: 0.530 | Acc: 78.000% 
